iter	Passed	Remaining
988	60273	670
989	60301	609
990	60327	547
991	60356	486
992	60378	425
993	60408	364
994	60425	303
995	60452	242
996	60472	181
997	60493	121
998	60518	60
999	60539	0
